number,value,model.hidden_dim,model.num_layers,model.num_gc_layers,model.dropout,training.learning_rate,training.weight_decay,duration_seconds
13,1.0240411758422852,128,2,2,0.3758146404482569,0.0019785023106242356,1.1486518462839192e-05,365.605514
4,1.0310349315404892,128,1,2,0.11375540844608736,0.006586289317583112,5.975027999960295e-06,200.865408
12,1.0447454750537872,128,2,2,0.3167265665612355,0.0023976227274240727,6.94707991907909e-06,366.451462
2,1.0492112239201863,128,1,2,0.28242799368681437,0.0037183641805732083,3.972110727381911e-06,198.485945
11,1.050759548942248,128,2,2,0.1926007488613412,0.0020534371516700406,6.634504937444539e-06,372.527404
10,1.0633165140946705,256,2,2,0.10718475024592788,0.0013527769084615443,1.3066991237906983e-06,375.363083
9,1.0787242849667866,32,1,3,0.35502298854208525,0.0059487468132197715,2.6100256506134754e-05,200.979727
0,1.0794405788183212,64,1,1,0.12323344486727979,0.005399484409787433,6.358358856676247e-05,159.344833
7,1.080889731645584,128,3,1,0.49475477464020695,0.0035033984911586884,3.945908811099999e-06,491.305481
1,1.081760863463084,128,1,1,0.17336180394137354,0.0004059611610484307,3.752055855124284e-05,176.845322
3,1.0820100208123524,256,1,1,0.4795542149013333,0.00853618986286683,0.0002661901888489054,147.660266
14,1.0862266818682353,128,2,3,0.3847911208853647,0.0007860892988004737,1.8945332476413838e-05,387.686431
6,1.0873529960711796,64,1,1,0.2554709158757928,0.00034889766548903674,0.0003063462210622083,173.360692
8,1.1004038800795872,64,3,1,0.24338629141770907,0.0001705053926026929,0.00038842777547031416,480.43483
5,1.1051332453886669,32,1,3,0.4100531293444458,0.007568292060167618,0.00048359527764659497,196.534709
