number,value,model.hidden_dim,model.num_layers,model.num_gc_layers,model.dropout,training.learning_rate,training.weight_decay,duration_seconds
1,0.8340801944335302,128,4,4,0.23309139293073017,0.0007205471449573455,1.2039678847394566e-06,3665.638619
2,0.8623534689346949,128,2,3,0.2185223429254833,0.0009181933250125181,2.1695930389704066e-06,1931.015976
3,0.9025788257519404,128,3,3,0.1999136533390745,0.0018361257143001848,1.155071571916645e-06,1836.426238
0,0.9606405744949976,128,3,2,0.22182247486231546,0.0005490136477235062,1.0841482899474184e-05,2622.892407
4,1.0640559941530228,256,4,2,0.2101579935963517,0.002173109092698473,2.7512698015953954e-06,1199.516163
